GridIndex, TrialID, ISA, lAnalysis1.nGo, lAnalysis1.nNoGo, lAnalysis1.nPause, lAnalysis1.dPrGrtMAV, bISAAnalysisRun
1, 189, 2, 1, 0, 0, 1, 1
1, 190, 2, 1, 0, 0, 1, 1
1, 191, 2, 1, 0, 0, 1, 1
1, 192, 2, 1, 0, 0, 1, 1
1, 193, 2, 1, 0, 0, 1, 1
1, 194, 2, 1, 0, 0, 0.999466666666667, 1
1, 195, 2, 1, 0, 0, 0.999733333333333, 1
1, 196, 2, 1, 0, 0, 1, 1
1, 197, 2, 1, 0, 0, 1, 1
1, 198, 2, 1, 0, 0, 0.9984, 1
1, 199, 2, 1, 0, 0, 0.998533333333333, 1
1, 200, 2, 1, 0, 0, 0.999733333333333, 1
1, 201, 2, 1, 0, 0, 1, 1
1, 202, 2, 1, 0, 0, 1, 1
1, 203, 2, 1, 0, 0, 0.999733333333333, 1
1, 204, 2, 1, 0, 0, 0.996266666666667, 1
1, 205, 2, 1, 0, 0, 1, 1
1, 206, 2, 1, 0, 0, 0.997733333333333, 1
1, 207, 2, 1, 0, 0, 1, 1
1, 208, 2, 1, 0, 0, 0.999866666666667, 1
1, 209, 2, 1, 0, 0, 0.9996, 1
1, 210, 2, 1, 0, 0, 1, 1
1, 211, 2, 1, 0, 0, 1, 1
1, 212, 2, 1, 0, 0, 0.998666666666667, 1
1, 213, 2, 1, 0, 0, 1, 1
1, 214, 2, 1, 0, 0, 1, 1
1, 215, 2, 1, 0, 0, 1, 1
1, 216, 2, 1, 0, 0, 1, 1
1, 217, 2, 1, 0, 0, 1, 1
1, 218, 2, 1, 0, 0, 1, 1
1, 219, 2, 1, 0, 0, 0.9988, 1
1, 220, 2, 1, 0, 0, 0.998933333333333, 1
1, 221, 2, 0, 0, 1, 0.978266666666667, 1
1, 222, 2, 1, 0, 0, 1, 1
1, 223, 2, 0, 0, 1, 0.933733333333333, 1
1, 224, 2, 1, 0, 0, 0.999733333333333, 1
1, 225, 2, 1, 0, 0, 1, 1
1, 226, 2, 1, 0, 0, 1, 1
1, 227, 2, 1, 0, 0, 1, 1
1, 228, 2, 1, 0, 0, 1, 1
1, 229, 2, 1, 0, 0, 0.998533333333333, 1
1, 230, 2, 0, 0, 1, 0.98, 1
1, 231, 2, 1, 0, 0, 1, 1
1, 232, 2, 1, 0, 0, 1, 1
1, 233, 2, 1, 0, 0, 1, 1
1, 234, 2, 1, 0, 0, 1, 1
1, 235, 2, 1, 0, 0, 1, 1
1, 236, 2, 1, 0, 0, 0.999733333333333, 1
1, 237, 2, 1, 0, 0, 1, 1
1, 238, 2, 1, 0, 0, 1, 1
1, 239, 2, 1, 0, 0, 1, 1
1, 240, 2, 1, 0, 0, 1, 1
1, 241, 2, 1, 0, 0, 1, 1
1, 242, 2, 1, 0, 0, 1, 1
1, 243, 2, 1, 0, 0, 1, 1
1, 244, 2, 1, 0, 0, 1, 1
1, 245, 2, 1, 0, 0, 0.999866666666667, 1
1, 246, 2, 1, 0, 0, 1, 1
1, 247, 2, 1, 0, 0, 1, 1
1, 248, 2, 1, 0, 0, 1, 1
1, 249, 2, 1, 0, 0, 1, 1
1, 250, 2, 1, 0, 0, 0.9996, 1
1, 251, 2, 1, 0, 0, 0.999866666666667, 1
1, 252, 2, 1, 0, 0, 1, 1
1, 253, 2, 0, 0, 1, 0.9828, 1
1, 254, 2, 1, 0, 0, 0.998266666666667, 1
1, 255, 2, 1, 0, 0, 0.998133333333333, 1
1, 256, 2, 1, 0, 0, 1, 1
1, 257, 2, 1, 0, 0, 1, 1
1, 258, 2, 1, 0, 0, 0.998266666666667, 1
1, 259, 2, 1, 0, 0, 1, 1
1, 260, 2, 1, 0, 0, 0.999866666666667, 1
1, 261, 2, 1, 0, 0, 1, 1
1, 262, 2, 1, 0, 0, 0.999466666666667, 1
1, 263, 2, 1, 0, 0, 0.999333333333333, 1
1, 264, 2, 1, 0, 0, 0.999866666666667, 1
1, 265, 2, 1, 0, 0, 1, 1
1, 266, 2, 1, 0, 0, 1, 1
1, 267, 2, 1, 0, 0, 0.999333333333333, 1
1, 268, 2, 1, 0, 0, 1, 1
1, 269, 2, 1, 0, 0, 0.999733333333333, 1
1, 270, 2, 1, 0, 0, 1, 1
1, 271, 2, 0, 0, 1, 0.981733333333333, 1
1, 272, 2, 1, 0, 0, 1, 1
1, 273, 2, 1, 0, 0, 1, 1
1, 274, 2, 1, 0, 0, 0.999466666666667, 1
1, 275, 2, 1, 0, 0, 0.999866666666667, 1
1, 276, 2, 1, 0, 0, 0.997066666666667, 1
1, 277, 2, 1, 0, 0, 0.997466666666667, 1
1, 278, 2, 1, 0, 0, 0.999066666666667, 1
1, 279, 2, 1, 0, 0, 1, 1
1, 280, 2, 1, 0, 0, 1, 1
1, 281, 2, 1, 0, 0, 0.9992, 1
1, 282, 2, 1, 0, 0, 0.993466666666667, 1
1, 283, 2, 1, 0, 0, 1, 1
1, 284, 2, 1, 0, 0, 1, 1
1, 285, 2, 1, 0, 0, 0.999866666666667, 1
1, 286, 2, 1, 0, 0, 1, 1
1, 287, 2, 1, 0, 0, 0.993066666666667, 1
1, 288, 2, 1, 0, 0, 1, 1
1, 289, 2, 0, 0, 1, 0.984933333333333, 1
1, 290, 2, 0, 0, 1, 0.9132, 1
1, 291, 2, 1, 0, 0, 0.9996, 1
1, 292, 2, 1, 0, 0, 0.9996, 1
1, 293, 2, 1, 0, 0, 0.996266666666667, 1
1, 294, 2, 1, 0, 0, 1, 1
1, 295, 2, 1, 0, 0, 0.999866666666667, 1
1, 296, 2, 1, 0, 0, 1, 1
1, 297, 2, 1, 0, 0, 0.9964, 1
1, 298, 2, 1, 0, 0, 1, 1
1, 299, 2, 1, 0, 0, 1, 1
1, 300, 2, 1, 0, 0, 1, 1
1, 301, 2, 0, 0, 1, 0.723066666666667, 1
1, 302, 2, 0, 0, 1, 0.018, 1
1, 303, 2, 0, 0, 1, 0.1652, 1
1, 304, 2, 0, 0, 1, 0.721333333333333, 1
1, 305, 2, 0, 0, 1, 0.3828, 1
1, 306, 2, 0, 0, 1, 0.900266666666667, 1
1, 307, 2, 0, 0, 1, 0.951866666666667, 1
1, 308, 2, 0, 0, 1, 0.476533333333333, 1
1, 309, 2, 0, 0, 1, 0.271333333333333, 1
1, 310, 2, 0, 0, 1, 0.668666666666667, 1
1, 311, 2, 0, 0, 1, 0.547066666666667, 1
1, 312, 2, 0, 0, 1, 0.475466666666667, 1
1, 313, 2, 0, 0, 1, 0.943333333333333, 1
1, 314, 2, 0, 0, 1, 0.6304, 1
1, 315, 2, 0, 0, 1, 0.450133333333333, 1
1, 316, 2, 0, 0, 1, 0.167333333333333, 1
