Design, iScen, GridIndex, TrialID, ISA1Status, ISA2Status, CurrentTime, ISA1Trt1, ISA1Trt2, ISA2Trt1, ISA2Trt3, ISAStart1, ISAStart2, ISAPause1, ISAPause2, FinalPatientEnrolledTimeISA1, FinalPatientEnrolledTimeISA2, StartIAISA1, StartIAISA2, FinalAnalysisTimeISA1, FinalAnalysisTimeISA2
1, 1, 1, 15, 7, 7, 25.4819638498998, 85, 85, 100, 100, 0, 6, 0, 0, 16.2641307286428, 24.4819538498998, 17.3085288157075, 25.4819638498998, 17.3085288157075, 25.4819638498998
1, 1, 1, 16, 7, 7, 25.9987607342087, 85, 85, 100, 100, 0, 6, 0, 0, 19.8616291021113, 24.9987507342087, 21.0686329484788, 25.9987607342087, 21.0686329484788, 25.9987607342087
1, 1, 1, 17, 7, 7, 28.7904193573553, 85, 85, 100, 100, 0, 6, 0, 0, 18.6032099708537, 27.7904093573553, 19.7254907835205, 28.7904193573553, 19.7254907835205, 28.7904193573553
1, 1, 1, 18, 7, 7, 27.4831810714054, 85, 85, 100, 100, 0, 6, 0, 0, 20.8375429767527, 26.4831710714054, 21.8900004654915, 27.4831810714054, 21.8900004654915, 27.4831810714054
1, 1, 1, 19, 7, 7, 26.705662768705, 85, 85, 100, 100, 0, 6, 0, 0, 18.614078060648, 25.705652768705, 19.6374529012181, 26.705662768705, 19.6374529012181, 26.705662768705
1, 1, 1, 20, 7, 7, 29.3397387676208, 85, 85, 100, 100, 0, 6, 0, 0, 22.9408998809925, 28.3397287676208, 23.9435072843982, 29.3397387676208, 23.9435072843982, 29.3397387676208
1, 1, 1, 21, 7, 7, 25.5257791462168, 85, 85, 100, 100, 0, 6, 0, 0, 21.5198306865691, 24.5257691462168, 22.5546410264845, 25.5257791462168, 22.5546410264845, 25.5257791462168
1, 1, 1, 22, 7, 7, 27.0668593558683, 85, 85, 100, 100, 0, 6, 0, 0, 21.8361476049796, 26.0668493558683, 22.8484984430063, 27.0668593558683, 22.8484984430063, 27.0668593558683
1, 1, 1, 23, 7, 7, 26.9071976591379, 85, 85, 100, 100, 0, 6, 0, 0, 19.6367740360027, 25.9071876591379, 20.6664674547359, 26.9071976591379, 20.6664674547359, 26.9071976591379
1, 1, 1, 24, 7, 7, 26.7613682707723, 85, 85, 100, 100, 0, 6, 0, 0, 19.569252798372, 25.7613582707723, 20.5753196534003, 26.7613682707723, 20.5753196534003, 26.7613682707723
1, 1, 1, 25, 7, 7, 26.350517062387, 85, 85, 100, 100, 0, 6, 0, 0, 19.1743743225787, 25.350507062387, 20.2053477142579, 26.350517062387, 20.2053477142579, 26.350517062387
1, 1, 1, 26, 7, 7, 27.3320528319756, 85, 85, 100, 100, 0, 6, 0, 0, 19.2938222639157, 26.3320428319756, 20.2970919287313, 27.3320528319756, 20.2970919287313, 27.3320528319756
1, 1, 1, 27, 7, 7, 27.0140472439288, 85, 85, 100, 100, 0, 6, 0, 0, 17.3736130443889, 26.0140372439288, 18.514730801748, 27.0140472439288, 18.514730801748, 27.0140472439288
1, 1, 1, 28, 7, 7, 24.7964236730176, 85, 85, 100, 100, 0, 6, 0, 0, 18.5158651642505, 23.7964136730176, 19.5992271580035, 24.7964236730176, 19.5992271580035, 24.7964236730176
1, 1, 1, 29, 7, 7, 29.3677610368652, 85, 85, 100, 100, 0, 6, 0, 0, 21.1923689986754, 28.3677510368652, 22.2459960427047, 29.3677610368652, 22.2459960427047, 29.3677610368652
1, 1, 1, 30, 7, 7, 27.709661254369, 85, 85, 100, 100, 0, 6, 0, 0, 21.5991676603621, 26.709651254369, 22.6509569216186, 27.709661254369, 22.6509569216186, 27.709661254369
1, 1, 1, 31, 7, 7, 28.7186683716032, 85, 85, 100, 100, 0, 6, 0, 0, 20.3162196230541, 27.7186583716032, 21.3392838691411, 28.7186683716032, 21.3392838691411, 28.7186683716032
1, 1, 1, 32, 7, 7, 25.1032167661146, 85, 85, 100, 100, 0, 6, 0, 0, 16.0743113952948, 24.1032067661146, 17.1052189333151, 25.1032167661146, 17.1052189333151, 25.1032167661146
1, 1, 1, 33, 7, 7, 25.5934595046025, 85, 85, 100, 100, 0, 6, 0, 0, 15.8092072747422, 24.5934495046025, 16.8609922316613, 25.5934595046025, 16.8609922316613, 25.5934595046025
1, 1, 1, 34, 7, 7, 26.8747544232189, 85, 85, 100, 100, 0, 6, 0, 0, 20.0034033361269, 25.8747444232189, 21.1515367839401, 26.8747544232189, 21.1515367839401, 26.8747544232189
1, 1, 1, 35, 7, 7, 26.5688708339671, 85, 85, 100, 100, 0, 6, 0, 0, 18.0454045456088, 25.5688608339671, 19.0812423849918, 26.5688708339671, 19.0812423849918, 26.5688708339671
